,SPY,GLD,IEF,IWD,QQQ,SHY,SMH,DATE,YEAR,YEAR_MONTH
2182,164.240234375,106.54000091552734,93.52244567871094,75.302490234375,95.91759490966797,75.72156524658203,21.918649673461914,2016-01-28,2016,201601
2183,168.24400329589844,106.94999694824219,94.02227020263672,77.28700256347656,97.92058563232422,75.81085968017578,22.818159103393555,2016-01-29,2016,201601
2184,168.18321228027344,108.05000305175781,93.8056411743164,77.0702133178711,98.18389129638672,75.77071380615234,22.91912269592285,2016-02-01,2016,201602
2185,165.15219116210938,108.08999633789062,94.47014617919922,75.54430389404297,96.05866241455078,75.86894989013672,22.29038429260254,2016-02-02,2016,201602
2186,166.14222717285156,109.25,94.36660766601562,76.21136474609375,95.59788513183594,75.8868179321289,22.322509765625,2016-02-03,2016,201602
2187,166.4027862548828,110.56999969482422,94.59093475341797,76.55323028564453,95.58847045898438,75.9046401977539,22.753908157348633,2016-02-04,2016,201602
2188,163.23272705078125,112.31999969482422,94.7117919921875,75.54430389404297,92.26896667480469,75.8868179321289,21.95995330810547,2016-02-05,2016,201602
2189,161.03550720214844,113.83000183105469,95.41944885253906,74.56038665771484,90.8584213256836,75.97614288330078,21.49184226989746,2016-02-08,2016,201602
2190,161.044189453125,113.58000183105469,95.43668365478516,74.30191040039062,90.57630920410156,75.94934844970703,21.400053024291992,2016-02-09,2016,201602
2191,160.9051971435547,114.45999908447266,95.72148132324219,74.14347839355469,90.92425537109375,75.94934844970703,21.092567443847656,2016-02-10,2016,201602
2192,158.8121795654297,119.05999755859375,96.16159057617188,72.8844223022461,90.79261016845703,76.02079010009766,20.94112205505371,2016-02-11,2016,201602
2193,162.08639526367188,118.36000061035156,95.42806243896484,74.59374237060547,92.17495727539062,75.93148803710938,21.35416030883789,2016-02-12,2016,201602
2194,164.8221435546875,114.7699966430664,95.14324951171875,75.736083984375,94.25315856933594,75.8868179321289,22.079273223876953,2016-02-16,2016,201602
2195,167.51441955566406,115.4800033569336,94.9102783203125,76.92012023925781,96.38778686523438,75.9046401977539,22.607046127319336,2016-02-17,2016,201602
