Date,StockID,MarketCap,next_month_ret,next_month_ret_0delay,Ret_5d,Ret_6-20d,Ret_6-60d
1993-01-29,10083,9320.59375,0.3846139333083072,0.3846139333083072,-0.23076946270400478,0.7999986560277652,0.19999948631509334
1993-01-29,10084,2287.5,0.06666565914000122,0.06666565914000122,-3.9967164189302906e-07,0.01666611270042795,2.3496089178731694e-06
1993-01-29,10085,203909.5,0.07446724443227426,0.07446724443227426,0.12234133532379965,-0.04265555351546735,-0.08056951662132561
1993-01-29,10086,57147.0,-0.03302433642735392,-0.03302433642735392,-0.0232562416336336,0.01999927675216795,0.03199723400949295
1993-01-29,10087,72544.5,-0.03571493367280132,-0.03571493367280132,-0.07142895357144996,0.012820620857985965,-0.044099945847776656
1993-01-29,10089,11861.4375,0.12121136900938434,0.12121136900938434,0.09090933636356002,-8.681054978199043e-07,-0.027781009639238463
1993-01-29,10090,32014.5,0.2380952414750992,0.2380952414750992,0.14285770714287072,0.12499994760238775,0.18750318801561705
2019-12-31,93306,5994712.42,-0.13594079688266003,-0.13594079688266003,0.0029951316168206343,-0.1430380556826394,-0.3031374262498966
2019-12-31,93309,3315.2,-0.13068304038779743,-0.13068304038779743,-0.0029550770302261276,-0.058238664614177926,-0.324712622825567
2019-12-31,93312,15632440.0,-0.05938944402150115,-0.05938944402150115,0.010749338757778837,0.04157141631786909,-0.3154151171524373
2019-12-31,93314,860604.5,-0.711846697983269,-0.711846697983269,-0.03762292031808956,-0.05212501603756692,-0.6505836319048548
2019-12-31,93325,746818.8,0.07772967368183803,0.07772967368183803,0.007326576298421594,0.02837577328772989,-0.12456591905298764
2019-12-31,93330,5399961.600000001,-0.07734461005917903,-0.07734461005917903,-0.006586280441110981,-0.06422402324356336,-0.3043016256625295
2019-12-31,93337,4403540.899999999,-0.286474501081204,-0.286474501081204,0.015810167107581874,0.027238345877615533,-0.40564167848380983
2019-12-31,93338,254000.0,-0.7993310775619837,-0.7993310775619837,-0.19291370569313804,-0.32683023341807227,-0.7703910726787375
2019-12-31,93339,37642.28,-0.22560031513982592,-0.22560031513982592,-0.12796825201073725,0.029500630445729925,-0.33585876586615915
2019-12-31,93340,337449.12,-0.20043998671533036,-0.20043998671533036,-0.018722783776751517,-0.03778619888255186,-0.4904604307479462
2019-12-31,93341,188337.5,0.13116906251204874,0.13116906251204874,-0.007287997838562377,-0.07748797862449763,-0.28711415863582124
2019-12-31,93342,131850.0,-0.015926570337081558,-0.015926570337081558,0.006113102071585441,-0.03626770202311369,-0.3229108206103011
2019-12-31,93343,21239.0,-0.38929476911085725,-0.38929476911085725,0.005970670396506783,0.07641021894341105,0.12202317411838481
2019-12-31,93345,941443.23,-0.26016179988070665,-0.26016179988070665,0.07567215044524778,-0.06889625322171344,-0.4005802745410647
2019-12-31,93347,59945.340000000004,-0.3406576028342476,-0.3406576028342476,-0.03708666764097479,0.044222166123184525,-0.024250497766924117
2019-12-31,93350,6054.38,0.6282246769205877,0.6282246769205877,0.3235291873362698,4.155552220440734,-0.05778022920357606
2019-12-31,93352,2469389.73,-0.3195578639505461,-0.3195578639505461,-0.014900347241820544,0.011550558426992596,-0.2856574409617435
2019-12-31,93356,1932107.46,0.3563694189643758,0.3563694189643758,0.012270461126819843,0.02156795746906459,-0.21229827577383142
2019-12-31,93357,189438.81999999998,-0.3604633514088186,-0.3604633514088186,0.007924551049372397,0.017297636077328926,-0.49981596767156167
2019-12-31,93359,14344.949999999999,-0.15849966847516161,-0.15849966847516161,-0.033179242195288006,-0.03255545773477164,-0.35678670932866363
2019-12-31,93360,28682.5,-0.5415693633967162,-0.5415693633967162,-0.02558427591328183,-0.18175204881985096,-0.6936728057564313
2019-12-31,93361,127215.0,-0.2832010815988165,-0.2832010815988165,-0.012667772859060622,-0.006491439892832518,-0.34074627034018146
2019-12-31,93362,57416.0,-0.1320029608418405,-0.1320029608418405,0.007701676461088658,-0.017076003290754094,-0.3532222075177659
2019-12-31,93363,345456.0,-0.040070954215867705,-0.040070954215867705,0.010119176348384107,-0.010056987963052433,-0.28167527860284924
2019-12-31,93364,51798.5,-0.05744614502380807,-0.05744614502380807,-0.016875817560685458,-0.059418455712738294,-0.22760263592815355
2019-12-31,93365,39487.5,-0.03983484684020233,-0.03983484684020233,-0.011225051237097716,0.026784594104132253,-0.12739211238704107
2019-12-31,93366,484575.0,-0.013929438054291032,-0.013929438054291032,0.0037990698492600394,0.018110209832871815,-0.25657863370707135
2019-12-31,93367,22312.5,-0.05506341514206814,-0.05506341514206814,-0.0008712005969722103,-0.0019242530021715831,-0.42243342219064595
2019-12-31,93368,137387.97,-0.27016308416031865,-0.27016308416031865,-0.0004681680612040884,-0.003274523889470471,-0.25061888401663857
2019-12-31,93369,1479992.58,0.053159529703872055,0.053159529703872055,-0.00885906863993624,-0.018266733667999913,-0.31130931369073633
2019-12-31,93370,246836.59999999998,-0.14081080424179493,-0.14081080424179493,-0.0006189403147828232,0.009914180228484115,-0.3095492064168879
2019-12-31,93371,186753.84,-0.38873824998676954,-0.38873824998676954,-0.08653840294470128,0.006015495020093686,-0.4586460821948263
2019-12-31,93372,1253725.0,-0.3455062848944648,-0.3455062848944648,0.016726429284029898,-0.029148239657998176,-0.4059060220653926
2019-12-31,93373,311227.09,-0.7926071306729521,-0.7926071306729521,0.04517533475727675,-0.17878069051418466,-0.6227893933480837
2019-12-31,93374,6551435.5200000005,-0.11214469565428464,-0.11214469565428464,-0.0008572043159711384,0.08151539704110333,-0.24300665293488966
2019-12-31,93380,1955010.72,-0.14850645186742784,-0.14850645186742784,-0.011560378406107907,-0.1255072461216017,-0.33198457761570177
2019-12-31,93384,346682.82,-0.7904448540615256,-0.7904448540615256,-0.11726337585682178,0.2755241879531394,-0.4403444406651461
2019-12-31,93393,289826.55,2.7130907441145147,2.7130907441145147,0.09355441013586296,0.04562767736283435,-0.20912672570625468
2019-12-31,93397,343063.2,-0.2908310134832035,-0.2908310134832035,-0.02444081482027094,0.06983047983398172,-0.31290089852119174
2019-12-31,93401,234937.26,0.06687220197591537,0.06687220197591537,-0.09259278297068896,0.045350931141024065,-0.01133644449287774
2019-12-31,93415,792872.9,-0.7378002460520805,-0.7378002460520805,0.03197207645264699,-0.08261770117016187,-0.8284392658648658
2019-12-31,93416,99655.68000000001,-0.049299020562777796,-0.049299020562777796,-0.0029295203163929306,0.01765516680639423,-0.2418664803961228
2019-12-31,93419,5834244.0,-0.3598687545114655,-0.3598687545114655,-0.04143488856383026,0.017732011873696774,-0.32058211660545743
2019-12-31,93420,1047213.0599999999,-0.803681241235683,-0.803681241235683,0.03987729547423258,-0.3274336428047474,-0.9115045366772094
2019-12-31,93422,1070064.0,-0.6698589038187039,-0.6698589038187039,-0.02444460404729787,-0.2482904952383812,-0.912380686297487
2019-12-31,93423,3812877.64,-0.6104595000492615,-0.6104595000492615,-0.03436064760003321,-0.1301649987898893,-0.6763977178451788
2019-12-31,93426,424932.0,-0.2514688355495698,-0.2514688355495698,-0.022941294043872018,0.04364981563031933,-0.41962475450527603
2019-12-31,93427,2399274.52,0.1201358568931683,0.1201358568931683,0.018970227351824853,0.006809064274541976,-0.2683545580142144
2019-12-31,93434,69940.5,0.10952562881386219,0.10952562881386219,0.023808880506874575,0.0465102718334347,-0.02325489299750827
2019-12-31,93436,75743664.64938,2.420176665143216,2.420176665143216,0.17644034863170788,0.30208705773383926,0.045150610005230574
