,PriceTrends_2,PriceTrends_3,PriceTrends_4,PriceTrends_5,PriceTrends_6,PriceTrends_7,PriceTrends_8,PriceTrends_9,PriceTrends_Low,PriceTrends_High,PriceTrends_HL
2016-08-31,105.1828858134769,104.37304973368073,104.28516570395357,104.61325843100657,108.28349134732231,103.17568190235913,104.10571988593529,104.58568960020047,103.87186444333807,104.43711515991852,100.52514239644343
2016-09-30,104.57400627394166,104.03054943106942,103.88113039618612,104.17320963079679,107.89465517384784,102.72259405529194,104.13383399745528,104.30642057381496,103.56497029839184,104.4418623015167,100.82671782363275
2016-10-31,104.39086195814104,104.15288935720038,103.26423202557133,103.94851688342823,107.83333167010294,102.43777231722954,104.03997470174558,104.0941821084228,103.6204811224718,104.15081764523646,100.49170424921077
2016-11-30,104.41695967363059,104.31632075273427,103.67976070390827,104.21834069321075,108.08828866971656,102.55246992931879,104.21789412656797,104.14041542866777,104.24797597234607,104.13475182762097,99.86765496266617
2017-01-31,105.81001450864147,105.36361257453942,104.68858123266216,105.3861910703191,109.64613257625788,104.0364964121584,105.75338943211612,105.45649681624116,105.23186781945182,105.73798738676126,100.46264484368383
2017-02-28,106.68517470759056,105.90013518067553,105.06959256909576,105.94723387172766,110.30458645662371,104.68371293194349,106.46026735095182,106.18220402459504,106.40381851579896,106.36490234882012,99.93944596435317
2017-03-31,106.66165356671016,105.98773843386165,105.09799720960655,106.07952923967746,110.47742592674079,104.73289504379339,106.86353438460843,106.26386120511788,106.32081239559554,106.61410807552743,100.25156051680204
2017-05-31,107.74049175018179,107.06472842180158,106.30361355780529,107.10883217183118,111.79797640852136,105.94032349785296,108.05879188508212,107.3923612728118,107.19574408093429,107.61944579777088,100.37191460377663
2017-06-30,107.82478612455628,107.02007188999869,106.05079822815226,106.844944867698,111.6899436489349,105.69907597361822,107.87570781800223,107.55094584774831,107.09935100873749,107.72734405042303,100.5628034647049
2017-07-31,108.07646968702697,107.39010272982401,106.06715567775045,106.9034486549906,111.46340543418167,105.73494301225195,108.13888017460704,107.7942487586635,106.60019644992298,107.7334365994439,101.0371806995577
2017-08-31,108.1584969563279,107.75715659376979,106.23849492922987,107.3080370914387,111.71319778379572,105.88568308485402,108.25228735920041,108.02531540472053,106.94077041088863,108.03260406569312,100.99495233941917
2017-10-31,107.73989880398547,107.11911358258988,105.9203200983604,107.3713843296199,111.78227235647118,105.87894735437789,108.51782223201023,108.72981638024801,106.78578772077539,109.18412716602694,102.21782665838725
2017-11-30,107.14324830379067,107.01334698306768,105.85666091607908,106.75237203056808,111.32526352075116,105.52708701418001,108.14595686643236,109.50328075586204,105.97749731246071,108.91447545802602,102.73909388151019
2018-01-31,106.68681806601651,106.89485838940065,105.26968573129942,106.4930782391522,111.32721171286278,105.17093309550715,107.67426789246879,109.06964776406882,105.84456294550768,108.43889130209834,102.41934727511588
2018-02-28,105.84420451537075,106.44467680916867,104.47963935853493,105.940214920035,110.8605258203707,104.92187158230585,107.62123429783519,108.88379525481912,104.62656058683623,108.3237086986506,103.48914538259899
2018-04-30,105.49709778585712,105.88584225592055,104.04072244221013,105.53696699412613,110.17036470374389,104.47826808113068,107.00847908392865,108.16751068015262,104.4487721770371,107.51247270905655,102.88997106410022
2018-05-31,105.71709783123984,106.2990552988705,104.3020930376137,105.64173173941055,110.09996315361612,104.39341134144526,107.10034977816656,108.11791191915783,104.50493562874301,107.78177834191558,103.09237262981219
2018-07-31,106.00750142528229,107.05336974897209,104.1565727680504,105.64122384646947,110.20502239556511,104.23845630196014,107.20075635608359,108.10749091559937,104.83503054560882,107.95329646033468,102.93079516117125
2018-08-31,105.8005585516865,106.54729927379513,104.12044189950645,105.14637811371497,109.70989073992187,103.67910975295227,106.78939268815259,107.52246903892213,104.86738394020301,107.58088341369402,102.54394281859183
2018-10-31,105.75105092690104,106.70193205255114,104.14319506020655,105.35243511537382,109.5590070659589,103.52617690934993,106.70670066436084,107.34317979126105,104.82016876733896,107.70885877737572,102.7120954452043
2018-11-30,107.99247555454698,109.32015587584063,106.14666509035303,107.43643022599723,111.71091133682044,105.36967363134985,108.65535628521965,109.12229828173079,107.37654770680594,109.13188287628151,101.56413673140496
2018-12-31,108.83917712344882,110.4970155820533,107.25622166229513,108.51861267224079,112.78344097852842,106.62100034238506,109.72022978871917,110.1138767245678,108.22598189875883,110.23626678961402,101.78848380338678
2019-01-31,110.28314419231144,111.01094315335531,108.23361286533041,109.28103852239705,113.44165253571457,107.26998685385878,110.23439882808034,110.45659649545058,108.87178939730222,110.82462382009068,101.72435944239591
2019-02-28,110.47994924119794,111.60239489966418,109.08481459641617,109.82053367276055,113.70094774151048,107.69154787696202,110.80235123422032,111.17288294907097,109.28285671427894,111.64027233652361,102.08895095497684
2019-04-30,109.39947086173368,110.79145226382782,108.16078702172007,108.93298875226036,112.7913401595784,106.96595400520086,110.55563478392546,110.37358376721231,107.88873428983979,110.93182612235073,102.74346516390311
2019-05-31,110.91569116281035,112.01093481432991,109.71202041685126,110.41732798217434,114.24547675812282,108.11352083259622,111.8965093170174,111.82653438631185,108.88645300553881,112.09350005851984,102.86925389228134
2019-07-31,112.12719182693998,112.9169671889262,110.79655071703749,111.61772944736373,115.39408526332804,108.81410657532172,112.83403474321089,112.88561285249041,109.91578615708181,112.85825010564805,102.59862122900398
2019-09-30,112.34542068393026,113.27978236218897,111.27209572560571,112.15804290583608,115.93411879786646,109.27586573484038,113.4970665127884,113.43999489031636,110.20213218877608,113.38773460614371,102.81268797843741
2019-10-31,113.29206898280798,113.31002567644958,111.81490550405171,112.46726367833347,115.72695783148994,109.26639686591253,113.2349866355481,113.02927303528023,111.32912922753839,112.84384437449322,101.26809549315388
2019-12-31,113.119345008785,113.04705088617943,111.56828571247269,112.36901944097511,115.55702620956876,109.07313830883894,113.28802410001437,112.60521473222984,110.53733981312573,112.43122611176875,101.61803828108464
2020-01-31,115.4599639793406,116.57957266597872,113.89166919507845,115.4508779577743,118.4545916424685,111.96855756581947,116.0487579583395,116.02925713991901,112.09829234076713,115.57824968377572,103.027394998927
2020-03-31,121.4066916568186,122.62478319986654,119.84463772676794,120.76269985088537,124.15480372066541,116.49213973576782,121.11911257007067,120.03729353995134,117.37555517341693,119.07260143823379,101.2920574041904
2020-04-30,120.04540494359179,124.80796275122863,119.38317986935272,120.04207383355087,123.46046725395594,116.59094031222594,121.38115999586478,121.17540414085116,116.21441475144441,119.80400767463826,102.91628027794029
