Date,us500_UH,usbond10y_UH,kodex200,kbond10y,gold_H,nasdaq100_UH,usdkrw,kbond1y,kbond3y,gold_UH
2004-04-16,2394.090490807313,6391.92632935907,8780.0,55729.8199932384,3218.762544625401,7219.871921319732,1162.5,71046.48578253345,62389.57555866987,15759.876616845952
2004-04-19,2379.674462045462,6340.4000648016845,8804.0,55739.90283555343,3263.218770971516,7297.335864749496,1155.5,71047.07783822625,62438.79096354019,15882.088762510524
2004-04-20,2337.7202768620323,6292.493639027111,8960.0,55791.51785385946,3210.807194182829,7110.016938139305,1154.5,71047.27519122025,62447.7082791494,15613.72932248275
2004-04-21,2355.4246642883427,6309.373210302251,9039.0,55757.390720774914,3170.0723303177083,7186.054459324753,1155.5,71047.47254476245,62426.45694075452,15429.241899627512
2004-04-22,2404.9919093298668,6373.172789696055,8989.0,55552.39745213863,3150.674506772669,7407.798996951642,1163.5,71034.95784184229,62465.62868585173,15441.246395173614
2004-04-23,2396.9615588795823,6323.019596127923,9083.0,55946.16512080407,3190.0483346715537,7433.11562245274,1158.5,71035.15516116963,62498.70857793339,15567.272287971777
2004-04-26,2386.37570281665,6304.22316545834,8940.0,55999.32399456461,3191.8330324537424,7329.078117669726,1155.0,71035.74712244031,62505.40542219128,15529.663148882728
2004-04-27,2383.296262258811,6314.488042481407,8901.0,56008.04535047047,3196.9895495971177,7307.978055254006,1152.5,71035.94444396009,62550.569792218026,15521.329267365829
2004-04-28,2356.518778572529,6286.070422589613,8723.0,56103.13888308704,3193.6934992363417,7189.830847235615,1154.5,71092.41460232344,62565.41608321072,15532.481303154307
2004-04-29,2368.213266808483,6353.489001063414,8481.0,56111.84566571697,3080.9225402273228,7180.760402056313,1170.5,71093.60193845686,62574.19721214013,15191.933832999814
2004-04-30,2355.509742425585,6381.989046620998,8339.0,56293.941371446,3117.474129561102,7047.375885052614,1173.35,71093.79942068447,62589.03240977586,15409.839643680849
2004-05-03,2378.03218937726,6372.547283730628,8377.0,56303.95661964511,3117.251458139346,7109.240522545065,1172.0,71094.39187065867,62636.27880055093,15391.743207736528
2004-05-04,2379.164684995713,6362.906052073656,8458.0,56182.33091142091,3136.8964892800154,7152.64096533793,1173.5,71094.58935508055,62620.71084218268,15508.81078702069
2004-05-06,2359.696713438805,6308.251655657989,8137.0,56199.73962020979,3154.855766915904,7077.427603011388,1166.5,71094.98432556997,62642.635360068096,15505.050868713126
2004-05-07,2330.600962891661,6260.609013446084,8150.0,56295.23475142247,3113.332928854404,7060.515746471314,1171.5,71095.18181163754,62669.52918775025,15366.812832425652
2004-05-10,2343.076692805715,6350.773549775754,7631.0,56218.4090730578,3010.504621656451,7125.651733765112,1190.0,71095.77427313171,62669.72249259875,15094.65441896911
2004-05-11,2357.920586820004,6349.806988237261,7631.0,56227.11834244512,3041.817514010697,7236.853292668437,1187.5,71095.97176139358,62702.694902292336,15219.854643603858
2004-05-12,2360.9687570780884,6311.24097287995,7870.0,56322.65999584259,3067.093569067596,7164.536811287488,1181.5,71104.07745966571,62711.34068907901,15269.024818952466
2004-05-13,2359.096629600224,6312.979325148312,7662.0,56505.63939923982,3021.5552966305727,7200.275719160322,1185.5,71112.1840820738,62726.057762455166,15093.489735680749
2004-05-14,2362.159487646936,6347.406537861202,7373.0,56558.03362635255,3005.389851260535,7118.6785517276185,1186.5,71112.38161591846,62746.83439940999,15025.642460563053
2004-05-17,2334.0851777665976,6365.267547466191,7030.0,56568.033876289854,3063.9122705298387,6993.569863098367,1182.5,71112.97422074474,62759.032241961526,15267.309338513727
2004-05-18,2349.8201741607127,6363.653803391635,7183.0,56445.52922734785,3049.3565416479937,7094.59641954235,1184.5,71113.17175678424,62761.576697606906,15220.721295494748
2004-05-19,2327.837956525014,6301.3809568080005,7555.0,56454.21182372559,3058.9388926700926,7046.966878009548,1177.5,71113.36929337245,62770.213408381525,15178.558566208048
2004-05-20,2337.2775174169874,6335.63302411463,7373.0,56462.89575568264,3060.877461957313,7055.628755809274,1178.5,71113.56683050937,62778.85130766635,15201.317714007942
2004-05-21,2335.369086430792,6307.659734032227,7571.0,56515.24016858497,3075.286327729899,7094.599446986637,1175.5,71121.67453480685,62769.26450642213,15234.238449304918
2004-05-24,2351.136423007935,6326.601496788951,7669.0,56612.747457101344,3087.9384128022257,7142.001202700911,1178.5,71137.08019191728,62818.103461866136,15336.682819478308
2004-05-25,2386.847809489955,6333.639500362212,7453.0,56709.12430263242,3118.032323174991,7318.678279665483,1179.5,71158.97974894401,62832.795293022726,15499.532789192672
2004-05-27,2388.193699346453,6344.617345882858,7714.0,56946.629246264776,3148.8542784522106,7333.771025949432,1169.5,71159.37507715834,62866.802729344505,15520.529303428904
2004-05-28,2377.773547717399,6303.000728815667,7853.0,57354.90926084911,3168.085092596248,7317.938735690082,1164.5,71159.5727420891,62942.35812093827,15548.801051038236
2004-05-31,2368.6871653323897,6280.273385713214,7976.0,57633.92884767572,3167.858806191776,7289.9740921745615,1160.05,71160.16574017584,62960.13590581317,15489.013870281451
2004-06-01,2366.4558203322063,6253.331945794954,7828.0,57642.39949380013,3183.870006886342,7304.3417187522755,1160.5,71168.22026943805,62956.28682532594,15573.58424340144
2004-06-02,2383.4618562092805,6263.309830097285,7693.0,57560.799141281546,3183.794200457606,7307.956688136626,1164.5,71162.46302836688,62946.3755540424,15627.13952071185
2004-06-03,2361.4485887163823,6272.194301410177,7373.0,57930.43413219709,3147.927353287274,7212.767570347036,1164.45,71162.66070187527,63003.63120578141,15450.677507424069
2004-06-04,2378.2565256474504,6243.185629571609,7453.0,57938.85312855736,3121.311369764652,7255.90315845955,1163.5,71162.85837593277,63011.938739379504,15307.787074982743
2004-06-07,2406.1637385952,6231.39378580722,7766.0,57948.65305364247,3164.113986349157,7411.900544360028,1159.5,71163.45140139987,63029.632580248486,15465.087436073454
